City,Latitude,Longitude,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date,Time
Bethel,60.79,-161.76,US,35.6,64,1,19.46,04/01/2018,08:53:00
Yeniseysk,58.45,92.17,RU,23.71,68,32,6.62,04/01/2018,09:40:23
Albany,42.65,-73.75,US,30.2,54,40,3.15,04/01/2018,08:54:00
Biak,-0.91,122.88,ID,84.01,88,36,2.71,04/01/2018,09:40:32
Busselton,-33.64,115.35,AU,69.58,95,0,14.54,04/01/2018,09:29:43
Butaritari,3.07,172.79,KI,83.83,98,32,10.76,04/01/2018,09:40:33
Hermanus,-34.42,19.24,ZA,54.76,90,0,2.26,04/01/2018,09:40:34
Castro,-42.48,-73.76,CL,43.33,98,0,3.49,04/01/2018,09:40:35
Yulara,-25.24,130.99,AU,96.8,13,0,12.75,04/01/2018,09:00:00
Ribeira Grande,38.52,-28.7,PT,61.87,98,32,23.29,04/01/2018,09:40:27
Rikitea,-23.12,-134.97,PF,79.33,100,0,7.18,04/01/2018,09:40:36
Lebu,8.96,38.73,ET,66.1,44,0,4.16,04/01/2018,09:40:37
Hithadhoo,-0.6,73.08,MV,85.99,98,88,8.08,04/01/2018,09:40:03
Punta Arenas,-53.16,-70.91,CL,48.2,87,90,14.99,04/01/2018,09:00:00
Juxtlahuaca,17.43,-99.15,MX,54.13,94,0,1.81,04/01/2018,09:40:29
Jamestown,-33.21,138.6,AU,73.57,37,0,11.21,04/01/2018,09:37:30
Geraldton,49.72,-86.95,CA,15.8,85,75,6.93,04/01/2018,09:00:00
Saint-Philippe,45.36,-73.48,CA,32,50,90,6.93,04/01/2018,09:00:00
Erenhot,43.65,111.97,CN,48.37,53,88,17.02,04/01/2018,09:40:31
Dingle,11,122.67,PH,80.68,89,44,5.17,04/01/2018,09:40:31
Aitape,-3.15,142.36,PG,80.14,100,76,6.4,04/01/2018,09:40:32
Ouesso,1.61,16.05,CG,70.87,100,92,2.93,04/01/2018,09:40:32
Namatanai,-3.66,152.44,PG,86.26,91,32,7.85,04/01/2018,09:40:32
Saint George,39.45,22.34,GR,46.4,65,0,3.36,04/01/2018,09:20:00
Nuqui,5.71,-77.27,CO,75.19,100,64,4.61,04/01/2018,09:40:33
Kapaa,22.08,-159.32,US,77,78,1,6.93,04/01/2018,08:56:00
Tafresh,34.69,50.01,IR,55.84,42,8,3.04,04/01/2018,09:40:42
Salalah,17.01,54.1,OM,80.6,69,20,4.7,04/01/2018,08:50:00
Gazli,40.13,63.45,UZ,56.2,62,32,13.78,04/01/2018,09:40:43
Zaidpur,26.83,81.33,IN,86,51,0,6.93,04/01/2018,09:00:00
Tuatapere,-46.13,167.69,NZ,61.96,82,36,17.81,04/01/2018,09:30:18
Takoradi,4.89,-1.75,GH,79.87,100,20,9.42,04/01/2018,09:40:36
Esperance,10.24,-61.45,TT,73.4,83,20,6.17,04/01/2018,09:00:00
Bredasdorp,-34.53,20.04,ZA,68,88,88,4.7,04/01/2018,09:00:00
Puerto Ayora,-0.74,-90.35,EC,76,100,8,4.72,04/01/2018,09:40:45
Tias,28.96,-13.65,ES,57.2,82,44,4.7,04/01/2018,09:30:00
Vaini,15.34,74.49,IN,89.41,46,0,3.38,04/01/2018,09:40:46
Faanui,-16.48,-151.75,PF,81.85,100,80,13.89,04/01/2018,09:40:38
Sitka,37.17,-99.65,US,35.5,63,56,10.42,04/01/2018,09:40:47
Necochea,-38.55,-58.74,AR,57.64,100,88,5.5,04/01/2018,09:40:39
Airai,-8.93,125.41,TL,80.95,73,32,0.58,04/01/2018,09:40:39
Yellowknife,62.45,-114.38,CA,1.4,59,20,5.82,04/01/2018,09:00:00
Fortuna,38.18,-1.13,ES,55.4,37,0,5.82,04/01/2018,09:30:00
Waddan,29.16,16.14,LY,53.95,80,92,10.31,04/01/2018,09:40:49
Petatlan,17.52,-101.27,MX,76.27,97,12,4.16,04/01/2018,09:40:41
